Year,Actor2Geo_CountryCode,GoldsteinScale,NuMentions,AvgTone,QuadClass,Goldstein_Neg_5,Goldstein_Neg_6,Goldstein_Neg_7,Goldstein_Neg_8,Goldstein_Neg_9,Goldstein_Pos_5,Goldstein_Pos_6,Goldstein_Pos_7,Goldstein_Pos_8,Goldstein_Pos_9,Quad_4_Goldstein_Neg_5,Quad_4_Goldstein_Neg_6,Quad_4_Goldstein_Neg_7,Quad_4_Goldstein_Neg_8,Quad_4_Goldstein_Neg_9,Event_Code_19_20,Extreme_Pos_Tone_Events,Extreme_Neg_Tone_Events
2000,DA,1.758237129,4.635413417,5.701718556,1.503120125,282,268,202,145,128,1072,960,397,39,16,241,229,199,145,128,98,337,0
2000,DJ,2.009923189,4.416234171,6.019986655,1.404608678,192,190,134,115,110,799,746,216,23,7,144,144,132,115,110,74,302,0
2000,DO,1.946666667,4.376,6.301527993,1.48,9,9,6,6,6,64,59,8,1,1,7,7,6,6,6,6,16,0
2000,DR,1.441607045,5.040726472,5.95284802,1.513483764,101,100,84,77,73,210,179,96,1,1,87,86,84,77,73,67,41,0
2000,EC,0.679438315,5.280842528,5.062820534,1.741725176,408,403,311,274,227,491,411,168,16,7,305,305,303,274,227,211,90,0
2000,EG,1.802633765,4.496465551,5.60073507,1.436758273,2910,2887,2413,2181,2024,9472,8822,1870,237,149,2500,2497,2370,2181,2024,1737,1764,0
2000,EI,1.066515757,4.582778518,6.098848672,1.641011984,866,813,674,602,559,1591,1485,281,90,43,725,721,667,602,559,482,390,0
2000,EK,1.213527851,4.347480106,5.251798942,1.602122016,21,21,18,12,11,63,46,20,1,1,20,20,18,12,11,9,18,0
2000,EN,2.4,5.536337007,5.650632016,1.343423072,142,137,93,67,61,1577,1453,698,21,6,106,106,92,67,61,54,303,0
2000,ER,1.128492403,5.050892462,5.728669087,1.729089836,1730,1717,1556,1419,1329,2782,2539,1145,526,214,1572,1563,1508,1419,1329,1270,617,0
2000,ES,1.249209932,4.411286682,5.720574872,1.637471783,164,161,148,145,124,331,296,155,12,7,149,148,147,145,124,109,79,0
2000,ET,1.299954927,4.991379796,5.620930807,1.711364021,1925,1902,1659,1507,1412,3807,3428,1632,542,186,1668,1666,1607,1507,1412,1335,952,0
2000,EZ,1.316338212,5.500941186,5.166193814,1.505205332,1480,1431,760,638,512,3673,3250,779,75,34,777,776,733,638,512,442,643,0
2000,FG,-3.130357143,3.214285714,4.33189244,2.571428571,22,22,17,17,17,4,4,2,0,0,20,20,17,17,17,16,0,0
2000,FI,2.205704809,4.466169154,5.667441452,1.374295191,266,258,213,174,90,1229,1126,492,21,12,230,223,207,174,90,73,243,0
2000,FJ,0.502088008,6.961543256,5.269960582,1.812889554,1762,1724,1534,1256,779,2090,1793,347,81,35,1562,1553,1493,1256,779,690,378,0
2000,FK,4,3,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,FM,1.076150628,4.552301255,5.582902328,1.550209205,96,95,86,84,68,189,173,42,7,5,88,88,86,84,68,58,46,0
2000,FO,2.094871795,4.820512821,5.393367016,1.435897436,1,1,0,0,0,6,4,1,0,0,1,1,0,0,0,0,0,0
2000,FP,-0.615,3.225,3.9398769,1.875,6,6,4,4,4,1,1,0,0,0,4,4,4,4,4,4,0,0
2000,FR,1.079443967,4.483777587,5.200444675,1.638893666,5796,5686,4567,4019,3089,9957,8731,2466,481,140,4718,4703,4501,4019,3089,2633,1820,0
2000,GA,0.608611044,4.360739479,5.391838649,1.711748966,276,272,218,207,155,429,375,113,26,14,217,217,215,207,155,144,192,0
2000,GB,1.501248885,5.314897413,5.51098853,1.462087422,64,61,51,41,39,160,137,32,9,4,55,54,51,41,39,34,35,0
2000,GG,1.307797927,5.811398964,4.798393787,1.560103627,573,570,471,402,290,1281,1159,372,157,73,496,495,469,402,290,271,147,0
2000,GH,1.265993266,4.558190602,6.136274853,1.542233934,395,394,343,325,251,826,697,218,28,16,351,350,343,325,251,225,439,0
2000,GI,1.212061404,4.728070175,4.9455919,1.598684211,29,29,18,17,17,65,60,34,1,1,25,25,18,17,17,12,2,0
2000,GJ,0.646565934,3.673076923,5.416387558,1.722527473,55,55,51,48,43,75,54,21,3,0,52,52,51,48,43,39,23,0
2000,GK,-1.846666667,4,4.093485379,2.266666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,GL,1.471032746,3.523929471,5.308374573,1.335012594,7,7,4,4,4,35,22,11,1,1,4,4,4,4,4,4,1,0
2000,GM,1.258461132,4.66333304,5.477185537,1.604789154,3914,3825,3145,2922,2212,8470,7430,2013,247,113,3214,3205,3095,2922,2212,1886,1758,0
2000,GP,1.353125,4.484375,4.499953215,1.46875,5,5,4,4,4,7,6,3,1,1,4,4,4,4,4,4,1,0
2000,GQ,-0.574444444,5.277777778,4.664250841,2.05,31,31,30,25,25,9,9,5,3,3,30,30,30,25,25,25,4,0
2000,GR,1.301344184,4.385515728,5.367456964,1.587006218,1790,1766,1517,1310,1176,3505,3138,1031,158,84,1543,1541,1497,1310,1176,1021,608,0
2000,GT,0.577388043,4.493271564,5.147559986,1.822413413,476,474,421,403,315,661,584,256,35,5,429,428,420,403,315,228,98,0
2000,GV,-0.579107008,4.962697815,4.489002692,2.087980407,967,961,878,822,748,583,512,189,65,21,891,888,874,822,748,728,101,0
2000,GY,1.305866667,4.364444444,5.377372456,1.624888889,79,79,69,62,61,202,181,81,9,2,71,71,69,62,61,52,26,0
2000,GZ,-3.243869876,4.086498684,3.694556577,2.595900715,2300,2296,2189,2144,2085,463,414,105,50,28,2193,2193,2176,2144,2085,1853,6,0
2000,HA,-0.060220569,4.541036163,5.26017003,1.907796871,1001,959,739,657,588,764,655,221,38,8,758,734,734,657,588,471,108,0
2000,HK,0.68612093,5.805209302,5.607848374,1.710325581,389,384,227,214,168,587,499,153,16,8,245,245,223,214,168,140,241,0
2000,HO,1.945669291,3.963692038,5.699423143,1.514435696,140,139,113,82,70,461,401,193,12,8,115,115,113,82,70,53,64,0
2000,HQ,2.8,4.5,6.271186441,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,HR,1.334780849,5.375703824,5.687740566,1.586795716,1516,1486,1168,1053,897,4459,3871,881,94,51,1191,1191,1157,1053,897,788,1256,0
2000,HU,1.803231051,5.633153831,5.820744406,1.415819955,758,735,487,390,353,3210,2932,729,65,30,527,526,480,390,353,311,1095,0
2000,IC,2.487263339,4.896729776,5.871609336,1.213425129,9,9,5,4,4,77,76,23,1,0,5,5,5,4,4,2,51,0
2000,ID,-0.540490777,5.587803623,4.370544321,1.99322608,10755,10672,9522,8951,8242,6221,5347,1771,646,166,9571,9549,9409,8951,8242,7327,733,0
2000,IM,-0.625,2.5,1.994461838,1.75,1,1,1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,0
2000,IN,-0.096496935,5.061881188,5.067139022,1.923314474,7437,7386,6712,6347,5810,5701,5117,1446,430,144,6748,6744,6651,6347,5810,5216,903,0
2000,IO,1.692857143,3.107142857,4.721165585,1.285714286,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
2000,IR,0.7701728,4.961176577,5.413913076,1.69671816,7757,7648,6246,5597,5075,11203,9732,2232,295,175,6443,6424,6193,5597,5075,4434,2897,0
2000,IS,0.388252467,5.354251201,5.239380315,1.824756026,29842,29530,24659,23120,21742,30393,27947,7773,3706,2785,25601,25562,24200,23120,21742,19235,4005,0
2000,IT,1.475475102,4.660061342,5.538517395,1.543510945,2028,1994,1645,1444,1253,5005,4293,1394,164,43,1733,1724,1614,1444,1253,1068,1316,0
2000,IV,0.070187939,5.96685254,5.5554604,1.885997522,1247,1210,947,833,710,1048,859,248,65,24,935,919,910,833,710,641,235,0
2000,IZ,0.701985184,4.726714666,5.305439186,1.726173631,5344,5209,4644,3448,3276,6799,5744,1366,291,106,4698,4695,4627,3448,3276,2906,1256,0
2000,JA,1.77540532,5.300184092,5.490786979,1.475376119,3878,3778,2898,2485,1883,12853,11055,2514,258,134,3263,3228,2890,2485,1883,1554,3044,0
2000,JE,-0.478217822,4.297029703,7.064256055,2.00990099,10,10,10,10,8,7,6,3,0,0,10,10,10,10,8,8,6,0
2000,JM,0.95362776,4.54679285,5.346013906,1.720294427,103,100,91,82,79,168,160,43,3,1,95,95,91,82,79,74,23,0
2000,JO,1.839975371,4.484157625,5.719076166,1.452506157,1626,1608,1283,1104,1005,5256,4664,1316,176,55,1334,1330,1262,1104,1005,890,1855,0
2000,KE,0.445944087,4.55685843,5.035567572,1.807365634,3033,2983,2648,2475,2196,3974,3285,1105,166,45,2691,2669,2619,2475,2196,1947,864,0
2000,KG,1.102340779,5.306915399,4.830660624,1.645556084,1010,998,936,859,776,1555,1377,755,64,17,943,941,935,859,776,748,199,0
2000,KN,2.366145152,5.860522137,6.276070284,1.32533159,1711,1655,1254,963,710,8335,7049,1091,117,56,1467,1433,1237,963,710,662,2477,0
2000,KR,2.087242798,6.004115226,5.42718586,1.341563786,7,7,4,4,3,35,35,16,1,0,5,5,4,4,3,3,12,0
2000,KS,2.135794679,5.296636907,6.064647295,1.402116757,2326,2285,1691,1392,1163,8212,7158,1391,168,111,1803,1801,1666,1392,1163,1046,2634,0
2000,KT,1.36,4.1,3.049423302,1.4,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,0
2000,KU,1.178053195,4.452628266,5.206661165,1.635977337,1067,1057,930,490,436,1869,1706,642,67,48,949,949,919,490,436,387,365,0
2000,KV,-1.184429327,3.990929705,5.461992751,2.343159486,317,316,232,224,200,184,165,60,49,9,281,281,231,224,200,183,29,0
2000,KZ,2.194753058,5.394834617,4.867200585,1.363570458,427,423,346,266,232,2251,2034,866,36,10,364,362,346,266,232,221,246,0
2000,LA,1.799817814,4.622267206,6.336608375,1.439068826,336,334,297,272,260,848,768,253,23,5,307,307,296,272,260,225,651,0
2000,LE,0.541949358,4.560144913,4.934558387,1.937094368,9060,9020,7978,7086,6540,10254,9680,4690,3873,3301,8089,8087,7918,7086,6540,6047,953,0
2000,LG,1.581058566,4.923763043,5.427682919,1.527600135,445,441,345,290,276,2011,1802,549,45,14,353,352,344,290,276,225,530,0
2000,LH,2.160438615,5.533218663,5.689790022,1.417007095,246,242,188,148,133,2014,1766,549,23,9,190,189,179,148,133,115,425,0
2000,LI,0.390307645,4.515073567,5.555007476,1.918304352,1036,1024,944,846,713,1408,1201,343,130,19,938,930,922,846,713,677,341,0
2000,LO,1.743952647,6.204343236,5.747332233,1.393530388,368,362,261,213,193,1873,1618,519,32,14,266,266,254,213,193,172,545,0
2000,LS,0.74491018,4.476047904,6.195315218,1.823353293,19,19,17,16,16,55,49,29,0,0,17,17,17,16,16,14,8,0
2000,LT,0.403864734,4.473429952,5.493340756,1.859903382,158,157,141,132,112,186,157,64,10,6,141,141,141,132,112,102,107,0
2000,LU,1.607117647,5.067647059,5.30109624,1.505882353,115,115,101,75,62,278,261,83,3,2,101,101,98,75,62,61,79,0
2000,LY,1.570464495,4.508061933,5.746092032,1.506513615,1212,1187,1066,939,653,2984,2634,430,71,21,1087,1086,1063,939,653,555,915,0
2000,MA,2.369593709,5.145478375,5.235147819,1.54259502,32,32,21,19,17,182,169,117,24,10,22,22,21,19,17,16,25,0
2000,MB,1.735820896,3.865671642,4.999023041,1.358208955,3,3,3,0,0,6,6,0,0,0,3,3,3,0,0,0,0,0
2000,MC,1.343935927,4.372997712,6.47969554,1.455377574,74,74,50,39,34,117,94,38,1,0,50,50,47,39,34,28,124,0
2000,MD,2.061782702,5.324458409,5.207720758,1.453778733,255,226,151,119,107,1199,1049,495,141,116,170,155,146,119,107,96,132,0
2000,MF,-0.955,5.575,5.065494427,2.4,7,7,6,6,4,4,3,3,0,0,6,6,6,6,4,2,0,0
2000,MG,2.689238609,4.925059952,6.433409901,1.242206235,91,88,62,50,47,726,604,259,3,2,76,76,59,50,47,47,359,0
2000,MH,0.049295775,4.211267606,5.278410784,1.85915493,8,8,7,3,3,10,6,2,1,0,3,3,3,3,3,3,2,0
2000,MI,0.931041257,5.135232482,5.540880396,1.65913556,180,170,137,120,100,417,333,135,21,2,141,137,133,120,100,88,162,0
2000,MJ,0.752270042,4.566075949,5.602415361,1.716793249,403,396,287,238,231,777,685,107,42,10,307,306,282,238,231,213,135,0
2000,MK,1.736763543,4.958481613,5.839351907,1.460557533,548,547,448,369,352,1769,1523,588,56,23,447,447,432,369,352,295,484,0
2000,ML,2.243082707,4.881203008,5.747561968,1.333458647,94,92,90,81,73,469,445,90,18,5,91,89,88,81,73,67,80,0
2000,MN,0.749056604,4.839622642,6.540817096,1.650943396,6,6,6,5,5,28,27,16,0,0,6,6,6,5,5,5,11,0
2000,MO,1.865587986,4.85501269,5.644948233,1.478426396,419,414,247,223,183,1695,1563,424,25,9,271,271,239,223,183,170,512,0
2000,MP,1.816179002,4.720309811,5.728147965,1.436316695,46,45,43,40,40,164,125,45,3,1,44,44,43,40,40,40,52,0
2000,MR,2.018857143,5.062857143,5.905989039,1.433714286,72,71,54,43,35,335,298,107,10,7,52,52,52,43,35,33,112,0
2000,MT,2.421513944,5.110557769,5.562010123,1.396414343,60,60,60,58,58,304,300,47,0,0,60,60,60,58,58,41,32,0
2000,MU,2.726038089,4.457383703,5.51516587,1.251326881,69,68,55,41,40,671,627,182,5,5,57,56,55,41,40,38,142,0
2000,MV,1.549685535,4.062893082,6.537930157,1.27672956,9,9,9,7,5,7,5,1,0,0,9,9,9,7,5,5,11,0
2000,MX,0.788407059,4.517183328,5.720419419,1.727098572,1651,1636,1478,1401,1227,2303,2052,589,101,62,1494,1493,1463,1401,1227,1084,702,0
2000,MY,0.460416438,5.290003299,5.059446813,1.787528868,3153,3120,2790,2598,1255,3431,3065,703,117,53,2865,2860,2780,2598,1255,938,597,0
2000,MZ,1.807589286,4.819515306,5.560400494,1.558946793,711,695,571,504,454,2382,2013,968,101,34,581,573,559,504,454,377,496,0
2000,NC,1.705747126,4.827586207,6.907280024,1.540229885,5,4,1,0,0,14,11,11,0,0,1,1,1,0,0,0,17,0
2000,NE,3.015217391,6.326086957,6.524847268,1.22826087,1,0,0,0,0,23,22,14,1,0,1,0,0,0,0,0,2,0
2000,NF,0.7,3.25,5.172413793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,NG,1.011377871,5.409185804,5.558481586,1.637787056,183,182,144,129,111,280,233,79,8,5,142,141,141,129,111,97,122,0
2000,NH,1.413821138,5.715447154,5.981589925,1.654471545,9,9,9,8,5,38,31,15,3,0,9,9,9,8,5,4,7,0
2000,NI,0.532125115,4.645961362,5.530215366,1.716602269,7469,7416,6446,5924,5391,9353,7504,2385,466,173,6395,6384,6290,5924,5391,4751,2906,0
